Explicit,Artist_Popularity,Performer,Song,Duration s,uri,url,WeekID,Week Position,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Year
False,20.0,Robert Palmer,Discipline Of Love,368.693,spotify:track:3VJjqM7mmhxwnSaTXR01mS,http://www.billboard.com/charts/hot-100/1985-11-16,1985-11-16,93,Discipline Of LoveRobert Palmer,1,,93,1,1985
False,31.0,Paul Young,Everything Must Change,335.16,spotify:track:7i3UR6Z3IO26idhJo0GovP,http://www.billboard.com/charts/hot-100/1985-11-23,1985-11-23,87,Everything Must ChangePaul Young,1,,87,1,1985
False,65.0,Sade,The Sweetest Taboo,277.373,spotify:track:0sKfhhj6hYyJIXnTiZV9vf,http://www.billboard.com/charts/hot-100/1985-11-23,1985-11-23,90,The Sweetest TabooSade,1,,90,1,1985
False,26.0,Kenny Rogers,Morning Desire,245.44,spotify:track:0jXWmuH5zjZyRFv04yjvHy,http://www.billboard.com/charts/hot-100/1985-11-23,1985-11-23,88,Morning DesireKenny Rogers,1,,88,1,1985
False,34.0,Pat Benatar,Sex As A Weapon,260.574,spotify:track:6bhE7I4xF5un9bc5d2YQSA,http://www.billboard.com/charts/hot-100/1985-11-23,1985-11-23,72,Sex As A WeaponPat Benatar,1,,72,1,1985
False,32.0,Stevie Wonder,Go Home,318.04,spotify:track:5zSwmohdHeH2xmrWDFZUZZ,http://www.billboard.com/charts/hot-100/1985-11-23,1985-11-23,67,Go HomeStevie Wonder,1,,67,1,1985
False,22.0,Corey Hart,Everything In My Heart,293.08,spotify:track:4XlXFUSN9HGw7xiJFeQW5v,http://www.billboard.com/charts/hot-100/1985-11-30,1985-11-30,74,Everything In My HeartCorey Hart,1,,74,1,1985
False,65.0,a-ha,The Sun Always Shines on T.V.,302.4,spotify:track:0HoaLXRp7jJtdQFunUyUGc,http://www.billboard.com/charts/hot-100/1985-11-30,1985-11-30,79,The Sun Always Shines on T.V.a-ha,1,,79,1,1985
False,46.0,Diana Ross,Chain Reaction,227.88,spotify:track:3N3UmpRUvoZQrUREMen54e,http://www.billboard.com/charts/hot-100/1985-11-30,1985-11-30,95,Chain ReactionDiana Ross,1,,95,1,1985
False,38.0,Ready For The World,Digital Display,346.293,spotify:track:7qwZHrDh5uPfyk6yl6Hl7Y,http://www.billboard.com/charts/hot-100/1985-12-07,1985-12-07,92,Digital DisplayReady For The World,1,,92,1,1985
False,30.0,Asia,Go,246.76,spotify:track:4VvhBlbxOSyf3FybLjcnOm,http://www.billboard.com/charts/hot-100/1985-12-07,1985-12-07,86,GoAsia,1,,86,1,1985
False,63.0,Bruce Springsteen,My Hometown,279.666,spotify:track:6dahFmHrgncgVJjsI1ws7e,http://www.billboard.com/charts/hot-100/1985-12-07,1985-12-07,55,My HometownBruce Springsteen,1,,55,1,1985
False,72.0,Whitney Houston,How Will I Know,275.533,spotify:track:5tdKaKLnC4SgtDZ6RlWeal,http://www.billboard.com/charts/hot-100/1985-12-07,1985-12-07,60,How Will I KnowWhitney Houston,1,,60,1,1985
False,56.0,Orchestral Manoeuvres In The Dark,Secret,236.333,spotify:track:0WnVjkW8k8Zo37JAI7K8zF,http://www.billboard.com/charts/hot-100/1985-12-14,1985-12-14,91,SecretOrchestral Manoeuvres In The Dark,1,,91,1,1985
False,52.0,Atlantic Starr,Secret Lovers,330.666,spotify:track:4nKPgKXfFiPW7cNex5oDtt,http://www.billboard.com/charts/hot-100/1985-12-28,1985-12-28,80,Secret LoversAtlantic Starr,1,,80,1,1985
False,46.0,Sly Fox,Let's Go All The Way,239.106,spotify:track:6eLDMmVI7HF7W56cOrJj00,http://www.billboard.com/charts/hot-100/1985-12-28,1985-12-28,85,Let's Go All The WaySly Fox,1,,85,1,1985
False,14.0,Roger Daltrey,Let Me Down Easy,247.893,spotify:track:7E4LQm69dSSClDJXIorJQH,http://www.billboard.com/charts/hot-100/1985-12-28,1985-12-28,89,Let Me Down EasyRoger Daltrey,1,,89,1,1985
False,25.0,"Evelyn ""Champagne"" King",Your Personal Touch,349.96,spotify:track:0xkUvZwzvXvnrTcAHnrGdw,http://www.billboard.com/charts/hot-100/1986-01-11,1986-01-11,87,"Your Personal TouchEvelyn ""Champagne"" King",1,,87,1,1986
False,55.0,Sting,Russians,238.266,spotify:track:0MBYW7CcBJmsY3HTP05VQg,http://www.billboard.com/charts/hot-100/1986-01-18,1986-01-18,58,RussiansSting,1,,58,1,1986
False,24.0,Marilyn Martin,Night Moves,318.613,spotify:track:3NiaJXqECvnb6GABk6bmoP,http://www.billboard.com/charts/hot-100/1986-01-18,1986-01-18,82,Night MovesMarilyn Martin,1,,82,1,1986
False,43.0,ZZ Top,Stages,212.026,spotify:track:4Sx0FBH0vNWZVxeUCpdHoL,http://www.billboard.com/charts/hot-100/1986-01-18,1986-01-18,62,StagesZZ Top,1,,62,1,1986
False,23.0,Aretha Franklin,Another Night,269.893,spotify:track:04lSEdjc0a6mszj94ZavmD,http://www.billboard.com/charts/hot-100/1986-01-18,1986-01-18,74,Another NightAretha Franklin,1,,74,1,1986
False,69.0,Elton John,Nikita,343.24,spotify:track:3G0ENKW9vzV0SuYKaWFflI,http://www.billboard.com/charts/hot-100/1986-01-18,1986-01-18,71,NikitaElton John,1,,71,1,1986
False,51.0,Oingo Boingo,Just Another Day,312.466,spotify:track:6w6I3AFRv7tQMmUTgAghUB,http://www.billboard.com/charts/hot-100/1986-01-25,1986-01-25,90,Just Another DayOingo Boingo,1,,90,1,1986
False,60.0,The Bangles,Manic Monday,184.16,spotify:track:00vYs0qZA40Z8AAaN7xmMO,http://www.billboard.com/charts/hot-100/1986-01-25,1986-01-25,86,Manic MondayThe Bangles,1,,86,1,1986
False,46.0,Divinyls,Pleasure And Pain,234.093,spotify:track:5n4sNcxXDElyEZakYyqXNv,http://www.billboard.com/charts/hot-100/1986-01-25,1986-01-25,89,Pleasure And PainDivinyls,1,,89,1,1986
False,54.0,Dan Seals,Bop,226.266,spotify:track:0VWPd2zYt1430jL6XtUjep,http://www.billboard.com/charts/hot-100/1986-01-25,1986-01-25,83,BopDan Seals,1,,83,1,1986
