0,1,2,3,4
Giant,67.0,Young the Giant,spotify:artist:4j56EQDQu5XnL7R3E9iFJT,"['modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
Tricia Leigh Fisher,0.0,Tricia Leigh Fisher,spotify:artist:3lfjox4XL3DRX76UbnSxsQ,[]
Guys Next Door,0.0,Guys Next Door,spotify:artist:1VKd2lW4QELMrO4rZWEsOk,['proto-hyperpop']
Desmond Child,18.0,Desmond Child,spotify:artist:7KgW65389e5w4xWzaVOuCg,[]
Dr. Alban,62.0,Dr. Alban,spotify:artist:6BkcAbUkfIBM4XudxieMq8,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
Black Moon,44.0,Black Moon,spotify:artist:2yN6bq26wynQcRuPkBYTDb,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'turntablism']"
M People,49.0,Nahko And Medicine For The People,spotify:artist:35fFUv2850L9CQjjNrLBpb,['modern folk rock']
,,,,
MoKenStef,47.0,MoKenStef,spotify:artist:3uklrkyCGBBg5PoFTbEoim,['contemporary r&b']
Tasha Holiday,0.0,Tasha Holiday,spotify:artist:6EVl1CXeN3s9xZNduHXcI1,[]
,,,,
,,,,
,,,,
,,,,
X-Ecutioners,41.0,X-Ecutioners,spotify:artist:7eVbT3G1ggf2sz6s7ZV0Ap,['turntablism']
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Down A.K.A. Kilo,35.0,Down A.K.A Kilo,spotify:artist:3ALJMSAJLWusPPBRwwJJ5U,[]
,,,,
Landon Pigg,46.0,Landon Pigg,spotify:artist:1whjlG0NSaQytgDIWz10GS,"['acoustic pop', 'neo mellow']"
James Otto,47.0,James Otto,spotify:artist:3VStI6m5Ig9FAyUaa0lYAP,"['contemporary country', 'country', 'country road', 'modern country rock']"
,,,,
Gucci Mane,79.0,Gucci Mane,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
,,,,
,,,,
,,,,
Candice Glover,24.0,Candice Glover,spotify:artist:1rHf7vRCsDRBkbA1XGT9e1,[]
,,,,
,,,,
,,,,
,,,,
Maluma,85.0,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
,,,,
Bradley Cooper,72.0,Bradley Cooper,spotify:artist:4VIvfOurcf0vuLRxLkGnIG,['hollywood']
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
The Fontane Sisters,66.0,The Fontane Sisters,spotify:artist:1Ml4OuStDoympbREURAM15,"['deep adult standards', 'vocal harmony group']"
Cookie And His Cupcakes,19.0,Cookie & The Cupcakes,spotify:artist:6GqL4bwmVbFVhvupr8HF4u,"['swamp blues', 'swamp pop']"
,,,,
,,,,
Billy Bland,12.0,Billy Bland,spotify:artist:4mDEpwlcBham5q1dmykSG0,[]
