	Performer	Artist_Popularity_x	Performer2	uri_x	Genre	Explicit	Artist_Popularity_y	Song	Duration s	uri_y	url	WeekID	Week Position	SongID	Instance	Previous Week Position	Peak Position	Weeks on Chart	Year
8527	Tony Dallara	44.0	Tony Dallara	spotify:artist:4kLoGBk9rZUs8lJmda0IHe	classic italian pop	False	39.0	Come Prima	123.653	spotify:track:22Avx4fZ3BKRSS9EnPD1F2	http://www.billboard.com/charts/hot-100/1958-12-06	1958-12-06	80	Come PrimaTony Dallara	1		80	1	1958
8528	The Johnny Otis Show	17.0	The Johnny Otis Show	spotify:artist:4pdM1TI8b1tZW3Jprzn5II		False	22.0	Willie And The Hand Jive	154.733	spotify:track:4ToAe9XCKjFGin2Qfswwis	http://www.billboard.com/charts/hot-100/1958-08-02	1958-08-02	9	Willie And The Hand JiveThe Johnny Otis Show	1		9	1	1958
8529	The String-A-Longs	28.0	The String-A-Longs	spotify:artist:7CG3fjmCcZHXOnxYrpgE6W	surf music	False	40.0	Wheels	116.36	spotify:track:702hWDnMmWGgTEVzayZJoS	http://www.billboard.com/charts/hot-100/1961-01-07	1961-01-07	81	WheelsThe String-A-Longs	1		81	1	1961
8531	Timi Yuro	42.0	Timi Yuro	spotify:artist:2JyxVsEiD9HVRM7CtFaLCK	adult standards	False	46.0	Hurt	148.466	spotify:track:6mqfq8EdYoV07TXM2rgPgb	http://www.billboard.com/charts/hot-100/1961-07-22	1961-07-22	66	HurtTimi Yuro	1		66	1	1961
8536	Ketty Lester	34.0	Ketty Lester	spotify:artist:36pJnWrcvAsoWm6fUqGaHi		False	3.0	But Not For Me	178.786	spotify:track:0JxQCmVhndnWtvNoPWgFLu	http://www.billboard.com/charts/hot-100/1962-06-23	1962-06-23	80	But Not For MeKetty Lester	1		80	1	1962
8537	The Cascades	51.0	The Cascades	spotify:artist:6qF0CJP412Gd50Rn1sFg2o	adult standards	False	42.0	Shy Girl	122.16	spotify:track:2WjI3iFrkA8c7jyQ7rhOMS	http://www.billboard.com/charts/hot-100/1963-04-27	1963-04-27	100	Shy GirlThe Cascades	1		100	1	1963
8539	The Crystals	54.0	The Crystals	spotify:artist:7rewR1TVjhisjI6gauUamf	bubblegum pop	False	17.0	Uptown	141.213	spotify:track:0k0QKx6QmgRjfdAIlBCWAC	http://www.billboard.com/charts/hot-100/1962-03-31	1962-03-31	80	UptownThe Crystals	1		80	1	1962
8544	The Murmaids	19.0	The Murmaids	spotify:artist:0ZVvRLbxQEcphvO7G8x3c8	classic girl group	False	35.0	Popsicles And Icicles	151.4	spotify:track:2s45jzEVXjE0Y0Fu6CjG5u	http://www.billboard.com/charts/hot-100/1963-11-23	1963-11-23	80	Popsicles And IciclesThe Murmaids	1		80	1	1963
8545	Kim Weston	47.0	Kim Weston	spotify:artist:71pUA2TXf3JHUPUgsjLtuL	motown	False	16.0	Love Me All The Way	170.306	spotify:track:0cc5ITaPuGnxjVIwA3QYFe	http://www.billboard.com/charts/hot-100/1963-07-06	1963-07-06	98	Love Me All The WayKim Weston	1		98	1	1963
8546	Brian Wilson	47.0	Brian Courtney Wilson	spotify:artist:5K2BdUwQNqXy70BX2L8BQx	contemporary gospel	False	17.0	Caroline, No	158.8	spotify:track:45RvzLqo8e2rqGPGQRFbFm	http://www.billboard.com/charts/hot-100/1966-03-26	1966-03-26	80	Caroline, NoBrian Wilson	1		80	1	1966
8547	The Tams	42.0	The Tams	spotify:artist:4FSD5qtm70EBsOiLMN2eEe	beach music	False	12.0	Untie Me	132.173	spotify:track:6dSfyyuTVnquyJW4ObN6dj	http://www.billboard.com/charts/hot-100/1962-10-20	1962-10-20	99	Untie MeThe Tams	1		99	1	1962
8551	The Winstons	27.0	The Winstons	spotify:artist:1VePrTOSgCLcaBecBs7i2q		False	37.0	Color Him Father	190.08	spotify:track:4qlk1U68B90hEi37NvCJRK	http://www.billboard.com/charts/hot-100/1969-05-24	1969-05-24	80	Color Him FatherThe Winstons	1		80	1	1969
8552	Pretty Ricky	57.0	Pretty Ricky	spotify:artist:6XwcepfAsPhrvwziGxhwju	contemporary r&b	True	65.0	Grind With Me	237.733	spotify:track:3B7i9OKRRmIsSBHEbJz58Y	http://www.billboard.com/charts/hot-100/2005-04-16	2005-04-16	92	Grind With MePretty Ricky	1		92	1	2005
8553	Josh Turner	66.0	Josh Turner	spotify:artist:7vCtweS8UVAXTyau2j0rDT	contemporary country	False	61.0	Long Black Train	250.626	spotify:track:2HqCaO7BV010qXS5FuiTED	http://www.billboard.com/charts/hot-100/2003-12-13	2003-12-13	96	Long Black TrainJosh Turner	1		96	1	2003
8559	Rej3ctz	29.0	Rej3ctz	spotify:artist:67oiK9STe75g3hNiUFyaRo	pop rap	True	44.0	Cat Daddy	200.803	spotify:track:1N4jhCFeE0hrZGYfpJsSAF	http://www.billboard.com/charts/hot-100/2011-06-18	2011-06-18	97	Cat DaddyRej3ctz	1		97	1	2011
8560	Don Omar	82.0	Don Omar	spotify:artist:33ScadVnbm2X8kkUqOkC6Z	latin hip hop	False	57.0	Angelito	284.933	spotify:track:7zo8XAMYBG6nGpqGiIudBc	http://www.billboard.com/charts/hot-100/2006-06-24	2006-06-24	99	AngelitoDon Omar	1		99	1	2006
8562	Driicky Graham	27.0	Driicky Graham	spotify:artist:7h5oEr0hzlM0GFQMrgEwSo	north carolina hip hop	True	43.0	Snap Backs & Tattoos	209.84	spotify:track:1YTO55iUyFqx1QgcWXArLB	http://www.billboard.com/charts/hot-100/2012-06-30	2012-06-30	97	Snap Backs & TattoosDriicky Graham	1		97	1	2012
