Performer,Artist_Popularity_x,Performer2,uri_x,Genre,url,WeekID,Week Position,Song_x,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Explicit,Artist_Popularity_y,Song_y,Duration ms,uri_y,Year
Goanna,36.0,Goanna Gang,spotify:artist:6hpD6CjtbAHcOxQJMNv8WE,"[""australian children's music"", 'kids dance party', ""preschool children's music""]",http://www.billboard.com/charts/hot-100/1983-06-11,1983-06-11,87,Solid Rock,Solid RockGoanna,1,,87,1,False,58.0,Solid Rock - Remastered Version,275226.0,spotify:track:1yeCajimfmJA0yAjwUScQf,1983
Louise Tucker,29.0,Louise Tucker,spotify:artist:1nWVPdf2KdNCEeh326GwXv,[],http://www.billboard.com/charts/hot-100/1983-06-18,1983-06-18,78,Midnight Blue,Midnight BlueLouise Tucker,1,,78,1,False,37.0,Midnight Blue - Original Version 1982,238275.0,spotify:track:5FAl0lIi2CUgrjMab1is7d,1983
Mtume,45.0,Mtume,spotify:artist:5bHSSREflcAADAyCMlmxmh,"['disco', 'electro', 'funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",http://www.billboard.com/charts/hot-100/1983-06-18,1983-06-18,92,Juicy Fruit,Juicy FruitMtume,1,,92,1,False,40.0,"You, Me And He",267226.0,spotify:track:4e4EjNZodRI8IR1CCO8D8M,1983
Taco,46.0,Taco,spotify:artist:6Dxf1ZaJBrpbumiqTTnlIH,[],http://www.billboard.com/charts/hot-100/1983-06-25,1983-06-25,75,Puttin' On The Ritz,Puttin' On The RitzTaco,1,,75,1,False,62.0,Puttin' on the Ritz,281160.0,spotify:track:1taGkdO3DQsNRIQrarhVvc,1983
Bananarama,57.0,Bananarama,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,"['dance pop', 'disco', 'europop', 'girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",http://www.billboard.com/charts/hot-100/1983-07-02,1983-07-02,89,Shy Boy (Don't It Make You Feel Good),Shy Boy (Don't It Make You Feel Good)Bananarama,1,,89,1,False,17.0,The Wild Life,234250.0,spotify:track:6xdYHNW7gFz9Fm8wSarUMK,1983
Peter Tosh,56.0,Peter Tosh,spotify:artist:0oea1hwGMfUxZbLxJc1XUN,"['dub', 'reggae', 'roots reggae']",http://www.billboard.com/charts/hot-100/1983-07-09,1983-07-09,95,Johnny B. Goode,Johnny B. GoodePeter Tosh,1,,95,1,False,60.0,Johnny B. Goode - 2002 Remaster,244253.0,spotify:track:5uPYEStMW3KsXnnLV7iCTw,1983
Zebra,57.0,zebrahead,spotify:artist:6SiyKSeJo6gcsS2NvuAbsl,"['funk metal', 'pop punk', 'punk', 'rap rock', 'skate punk']",http://www.billboard.com/charts/hot-100/1983-07-09,1983-07-09,87,Who's Behind The Door?,Who's Behind The Door?Zebra,1,,87,1,False,22.0,Who's Behind the Door - Live Version,376133.0,spotify:track:3ma8nGkUmml82cT5j4lQQM,1983
F.R. David,58.0,F.R. David,spotify:artist:6GnCucI2uDaYj1j39GFxkn,"['europop', 'french synthpop', 'italian disco']",http://www.billboard.com/charts/hot-100/1983-07-23,1983-07-23,94,Words,WordsF.R. David,1,,94,1,False,71.0,Words - Original Version 1983,209013.0,spotify:track:1HPJOoIVdUPuaebxzMrVaD,1983
R.E.M.,74.0,R.E.M.,spotify:artist:4KWTAlx2RvbpseOGMEmROg,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']",http://www.billboard.com/charts/hot-100/1983-07-23,1983-07-23,90,Radio Free Europe,Radio Free EuropeR.E.M.,1,,90,1,False,74.0,Shiny Happy People,225786.0,spotify:track:1v2zyAJrChw5JnfafSkwkJ,1983
Spandau Ballet,62.0,Spandau Ballet,spotify:artist:2urZrEdsq72kx0UzfYN8Yv,"['europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-08-06,1983-08-06,67,True,TrueSpandau Ballet,1,,67,1,False,62.0,Gold - 2003 Remaster,290720.0,spotify:track:0Z9UkcT1pnrmLciUJPcMMS,1983
Tears For Fears,74.0,Tears For Fears,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-08-06,1983-08-06,90,Change,ChangeTears For Fears,1,,90,1,False,44.0,Mothers Talk,306320.0,spotify:track:2p87CAEgL7eJzVgNZt2M0J,1983
Kissing The Pink,26.0,Kissing The Pink,spotify:artist:5B9MfAU2KZlyvsofev6XXR,"['deep new wave', 'new romantic', 'new wave', 'synthpop']",http://www.billboard.com/charts/hot-100/1983-08-06,1983-08-06,95,Maybe This Day,Maybe This DayKissing The Pink,1,,95,1,False,5.0,Maybe This Day,217920.0,spotify:track:1qF2o9DGXKIlKPvEJA5xCN,1983
